Optimize time:0.38434166769186656
Begin Prob:-27341.737587177293
End Prob:-27259.44194511198
Substitution parameters:[0.222439741940549, 0.2572663936386905, 0.27213963564662635, 0.24815422877413407, 1.6154053002587085]
Trees:
((2:281.15360477949326,4:281.15360477949326):277.3546959375629,(1:278.33739729306274,3:279.8276167700539):281.15360477949326);
(4:309.017685357953,(3:279.82486587815794,(1:274.9145747843577,2:279.8276167700539):274.9145747843577):395.01981112788815);
(4:0.730969,(1:318.6830512937859,(2:1.28949,3:0.759445):1e-06):0.730969);

Position, Posteriors1, Posteriors2, Posteriors3,
0, 0.030953010071066316, 0.48537423391513884, 0.48367275842499535,
1, 0.03053816246267884, 0.48558256328290705, 0.4838792766671825,
2, 0.03028569837266099, 0.4857095665290446, 0.4840047375096733,
3, 0.030084064410839367, 0.4858111212257153, 0.48410481677439576,
4, 0.030035216192924055, 0.4858361686740987, 0.4841286175427425,
5, 0.0299438757519476, 0.4858824858454631, 0.4841736408089265,
6, 0.02978516342016712, 0.4859625378010693, 0.48425230118478313,
7, 0.029525408347150985, 0.4860931977439685, 0.4843813963156064,
8, 0.029150356855013156, 0.4862816105613714, 0.48456803499166945,
9, 0.028612221359328793, 0.4865517161460772, 0.4848360649037573,
10, 0.027934975873316486, 0.4868915000586488, 0.4851735264759693,
11, 0.02749426364745756, 0.48711279270173113, 0.4853929460594188,
12, 0.02688412114119697, 0.487418949179087, 0.48569693208943726,
13, 0.026629892258049976, 0.4875468354614153, 0.48582327469080755,
14, 0.026477505004652045, 0.48762370524624643, 0.4858987921593235,
15, 0.026240570058514025, 0.4877429163858609, 0.4860165159680175,
16, 0.025859501895428044, 0.4879343255317032, 0.4862061749838046,
17, 0.025713893203250304, 0.4880078046029131, 0.48627830460733634,
18, 0.025584554828927013, 0.48807311954737953, 0.48634232803719146,
19, 0.025378210335228572, 0.4881769972482109, 0.48644479482960046,
20, 0.025122460174384673, 0.48830561222091695, 0.48657193001601473,
21, 0.024745291376695063, 0.4884950378720264, 0.486759673163534,
22, 0.024466022805535535, 0.4886354294218885, 0.48689855018508443,
23, 0.024185556743475736, 0.48877640619511026, 0.4870380394735598,
24, 0.02408983569894733, 0.48882486237490397, 0.4870853043384592,
25, 0.02405918017799067, 0.4888407472999535, 0.4871000749360265,
26, 0.023977873979907426, 0.4888819881442507, 0.48714014029044717,
27, 0.023945320791462856, 0.48889882018673064, 0.48715586143713285,
28, 0.023916375802308834, 0.48891383204634364, 0.4871697945649272,
29, 0.02391077091202712, 0.4889171692117448, 0.48717206228949306,
30, 0.023837299562207606, 0.48895448441007405, 0.4872082184395673,
31, 0.023789220573466486, 0.48897909485382907, 0.48723168698314373,
32, 0.023679671518716475, 0.4890344878027018, 0.487285843089145,
33, 0.023562388856682364, 0.4890937531963227, 0.487343860358374,
34, 0.02337323877353294, 0.4891890073879816, 0.48743775624912666,
35, 0.023217726870349866, 0.4892674234545691, 0.4875148520878051,
36, 0.023100044811380234, 0.48932690313259175, 0.48757305446847143,
37, 0.022912906988997762, 0.4894211642143709, 0.487665931209416,
38, 0.022659481871521468, 0.48954861959411994, 0.48779190094455716,
39, 0.0224290749606992, 0.4896645293377773, 0.48790639810870184,
40, 0.022096646469770696, 0.48983154075620755, 0.4880718151811792,
41, 0.02161416739526065, 0.49007370482857815, 0.488312130184958,
42, 0.021172099386606913, 0.49029560925328286, 0.48853229376857366,
43, 0.02083681046368091, 0.4904640324504624, 0.4886991594963617,
44, 0.020474255333034024, 0.49064611881130005, 0.48887962826440157,
45, 0.020100302644239593, 0.4908339245350784, 0.48906577522947126,
46, 0.019553056792671587, 0.4911085331894047, 0.4893384124283008,
47, 0.018769796355061662, 0.49150135346838364, 0.4897288525852273,
48, 0.018008698247553825, 0.49188305305631447, 0.490108251103292,
49, 0.01743585010316956, 0.49217046251624796, 0.490393689789766,
50, 0.016710934553989316, 0.49253403736708307, 0.49075503049167135,
51, 0.015795040623594037, 0.4929932672034917, 0.4912116945839348,
52, 0.014435742032300485, 0.49367459341737946, 0.49188966696328734,
53, 0.013836923087557523, 0.49397501836749325, 0.49218806095950446,
54, 0.012978707782749122, 0.49440536722829315, 0.4926159274039423,
55, 0.012131025096152045, 0.4948304553914495, 0.493038521926838,
56, 0.01120048088601002, 0.49529705690161085, 0.493502464626269,
57, 0.010959001598138585, 0.4954185099563782, 0.49362249085945575,
58, 0.010779655789462085, 0.4955088404185852, 0.4937115062071212,
59, 0.010675026401028527, 0.49556175495774635, 0.4937632210543078,
60, 0.010505832607971041, 0.4956470084580757, 0.4938471613451,
61, 0.01033869336755019, 0.4957312186945029, 0.4939300903505318,
62, 0.010255154786555018, 0.49577356077977913, 0.49397128684705194,
63, 0.010166041250418763, 0.49581869453001154, 0.49401526663344464,
64, 0.01002589298315961, 0.4958893855267215, 0.4940847239018815,
65, 0.010019595664190976, 0.4958930433566297, 0.49408736339260795,
66, 0.010003766856859306, 0.4959014729868622, 0.49409476257226276,
67, 0.010021536530250869, 0.4958930762751016, 0.4940853896114308,
68, 0.010022839147926593, 0.49589291520606943, 0.4940842480615375,
69, 0.009992250240034885, 0.4959087170557982, 0.4940990351193505,
70, 0.009952088848047536, 0.49592931714341576, 0.4941185964265859,
71, 0.009950395111577906, 0.49593066358879784, 0.49411894371807685,
72, 0.00994043827811515, 0.49593614642439837, 0.4941234177149237,
73, 0.009907226713331843, 0.4959532665180316, 0.49413950918685207,
74, 0.00983351096389088, 0.4959906706204942, 0.49417582083299116,
75, 0.009788853761421324, 0.4960135219925241, 0.49419762666280537,
76, 0.009745058530761224, 0.49603592835136756, 0.4942190155354131,
77, 0.00965392940295562, 0.4960820433134438, 0.4942640297015593,
78, 0.0095272497091845, 0.4961459571913413, 0.4943267955170648,
79, 0.009343198672121526, 0.4962386081820836, 0.4944181955652151,
80, 0.009128283124505091, 0.4963467222761836, 0.4945249970207312,
81, 0.009017336596470854, 0.4964027671964849, 0.4945798986274811,
82, 0.008892711396912273, 0.49646566855461893, 0.4946416224699283,
83, 0.008678053021124208, 0.49657366732471975, 0.4947482820761166,
84, 0.008441398529873217, 0.49669268336446737, 0.49486592052811523,
85, 0.008262763383520534, 0.49678263883749363, 0.4949546001987043,
86, 0.008057122585027192, 0.49688612081676187, 0.49505675901590884,
87, 0.007988843707842573, 0.4969208067322663, 0.49509035197917817,
88, 0.007872043145547833, 0.49697979775667916, 0.49514816151918384,
89, 0.007689948041534716, 0.4970714950539109, 0.4952385593264518,
90, 0.007402989040239793, 0.49721572267012404, 0.4953812907117387,
91, 0.006972055063592138, 0.4974320703824234, 0.4955958769746855,
92, 0.006531569564224291, 0.4976532123089366, 0.4958152205489148,
93, 0.006341272936617972, 0.4977490374666525, 0.4959096920169656,
94, 0.006101301993584175, 0.4978697381805201, 0.4960289622473345,
95, 0.005741133779675602, 0.49805064785832354, 0.49620822078167176,
96, 0.005639234969678949, 0.4981021861752421, 0.4962585812749589,
97, 0.005505297864641757, 0.49816977126330275, 0.49632493329064714,
98, 0.005300184331520053, 0.4982730104051162, 0.4964268076814679,
99, 0.005139593438494792, 0.49835395774855096, 0.49650645123036174,
100, 0.004921054333843831, 0.4984639357706727, 0.49661501231234845,
101, 0.004606296774619926, 0.49862210755522884, 0.49677159808618654,
102, 0.004300271406868805, 0.4987758894425817, 0.49692384156637814,
103, 0.003862812931779427, 0.4989955024948532, 0.49714168698647326,
104, 0.003655281658182719, 0.4990999473029468, 0.4972447734546035,
105, 0.003525707597244858, 0.4991653488713655, 0.49730894594619707,
106, 0.003359611937195263, 0.49924904448438867, 0.49739134599429846,
107, 0.003191674223184358, 0.4993336711229943, 0.4974746570687706,
108, 0.0030160177947664998, 0.4994221734203498, 0.49756181119834075,
109, 0.002834733285326329, 0.49951350433736974, 0.49765176479324064,
110, 0.0026583949064582233, 0.49960234290138417, 0.4977392646073794,
