Optimize time:0.40118606507778165
Begin Prob:-27173.15832753901
End Prob:-27083.563516879167
Substitution parameters:[0.2692257284067152, 0.20098122283209544, 0.2125372784188783, 0.317255770342311, 1.147137166649318]
Trees:
(1:604.8267159879138,(2:663.9515743815984,(3:579.5454325011524,4:604.0726522942828):680.0621775379459):509.1403407352295);
(1:598.2500676720585,(4:573.2892714766516,(3:644.511380914118,2:462.1399073044392):645.6303340869309):599.248853840888);
(1:0.960077,(3:593.6135832029722,(2:1.19112,4:0.59321):0.0757455):0.960077);

Position, Posteriors1, Posteriors2, Posteriors3,
0, 0.4535202777055246, 0.2807527533671218, 0.26572697016491714,
1, 0.4610376625627854, 0.2775448761115049, 0.261417462563309,
2, 0.46173580078777743, 0.2776255089017274, 0.2606386915492696,
3, 0.47542866056585875, 0.27104054310045217, 0.25353079757213626,
4, 0.4979871124964085, 0.2600643500426862, 0.2419485386989908,
5, 0.5374014893495407, 0.24045767393959114, 0.22214083794742606,
6, 0.5689091607325061, 0.22465358210722344, 0.20643725839740892,
7, 0.5807563814136278, 0.21872001445433398, 0.20052360536846273,
8, 0.6016184086003616, 0.20815419712621164, 0.19022739551054957,
9, 0.6306555324446681, 0.19360429960938033, 0.1757401691845032,
10, 0.6519162107673746, 0.18289289390904864, 0.16519089656153974,
11, 0.6569722406811699, 0.18038825432125052, 0.16263950623707157,
12, 0.6569815756345572, 0.18037984372164748, 0.162638581882552,
13, 0.6414539705331982, 0.18822123692980713, 0.17032479377697438,
14, 0.6056612780986488, 0.2062878595287506, 0.1880508636121964,
15, 0.5808050123255957, 0.218738355006674, 0.20045663390701834,
16, 0.5700104954791927, 0.22395641838573357, 0.20603308737539255,
17, 0.5674018289793146, 0.22496769245471077, 0.20763047980713895,
18, 0.5771622408336428, 0.21959452471493907, 0.20324323569271338,
19, 0.5962555148218458, 0.20942697657587397, 0.1943175098429314,
20, 0.6097809332303421, 0.20197143075912616, 0.1882476372523195,
21, 0.6426690101142528, 0.18456314552084305, 0.17276784560555078,
22, 0.6563856049137913, 0.1768836047136459, 0.16673079161330537,
23, 0.676325097777929, 0.166136606110318, 0.1575382973543337,
24, 0.6905345543371728, 0.15821411512932085, 0.15125133177655653,
25, 0.7217860123653141, 0.1415617928361326, 0.13665219604138787,
26, 0.7613137943336162, 0.12078652606951748, 0.11789968083977503,
27, 0.7871822363120575, 0.10749041108671979, 0.1053273538438454,
28, 0.8286757778285144, 0.08633410528551999, 0.0849901181322251,
29, 0.8563990247909085, 0.07255783642213644, 0.07104314003088191,
30, 0.8853422562827488, 0.0581884141282429, 0.05646933083212942,
31, 0.9004205496177045, 0.05067489634592322, 0.0489045552802873,
32, 0.9055408067155356, 0.048095867108974406, 0.046363327419216574,
33, 0.9103929973197067, 0.045690773620067855, 0.04391623030028873,
34, 0.9073908686539158, 0.047203128261063994, 0.04540600432088324,
35, 0.895802190723928, 0.05300538621623127, 0.051192424296180754,
36, 0.8852565011319299, 0.05830680802883845, 0.056436692073032736,
37, 0.8810945747358951, 0.06037333970147624, 0.05853208679978313,
38, 0.8667787922717823, 0.0674637442447671, 0.0657574647204224,
39, 0.8605750544271081, 0.07051228581735554, 0.0689126609906967,
40, 0.84259792372876, 0.07937995097273928, 0.07802212653409778,
41, 0.8145866598600155, 0.09362691499425549, 0.09178642638135776,
42, 0.7841070385341464, 0.10923743074346934, 0.10665553195939682,
43, 0.7695086314183733, 0.11681878323841581, 0.11367258658021935,
44, 0.737777743529076, 0.13292114638709743, 0.12930111132143313,
45, 0.7163376567639019, 0.14376791447717988, 0.1398944299988724,
46, 0.7038243665829279, 0.15005427840876318, 0.14612135624848213,
47, 0.7030643523492466, 0.15041448944398128, 0.1465211594463695,
48, 0.715505906050688, 0.14406069721806256, 0.14043339796817034,
49, 0.7374512781738292, 0.13283937563702514, 0.12970934742795834,
50, 0.75651437328022, 0.12315831596289614, 0.12032731199317118,
51, 0.7712267788959074, 0.11554943319268884, 0.11322378914590904,
52, 0.8001271268310124, 0.10069378987949718, 0.09917908452349723,
53, 0.8255377362514488, 0.08769561990992808, 0.08676664507333635,
54, 0.8408174815410665, 0.08014488793565915, 0.07903763175788193,
55, 0.8445677376907784, 0.07828829010076614, 0.07714397344198426,
56, 0.855427759029285, 0.07285796184309638, 0.0717142803619764,
57, 0.8629594543321326, 0.06901889224138291, 0.06802165466221247,
58, 0.8641495963563837, 0.0686232819296929, 0.06722712294902858,
59, 0.8722603179026142, 0.06471936640200193, 0.06302031693346352,
60, 0.88822113939663, 0.056849098463636054, 0.054929763376531264,
61, 0.9103254701874113, 0.04596163238680848, 0.043712898664169636,
62, 0.9215819198657591, 0.040438507359654714, 0.037979574012108205,
63, 0.924778208667902, 0.03894886669989512, 0.036272925868973946,
64, 0.9210920612895876, 0.04093662919151176, 0.037971310755448386,
65, 0.9262970656673108, 0.03839266679589638, 0.03531026877540316,
66, 0.9242792363187576, 0.039498549528013974, 0.03622221539074467,
67, 0.9146924625219712, 0.04445835622077379, 0.040849182495805235,
