Optimize time:0.16095180008146498
Begin Prob:-27247.009224371744
End Prob:-27244.23011128115
Substitution parameters:[0.21575023227816661, 0.27042555049701067, 0.2832417293473155, 0.23058248787750724, 0.7601449242980348]
Trees:
(3:381.98202970225606,(2:382.7415208189137,(1:357.1993347367097,4:378.297798774938):381.9822350051531):382.7848462106725);
(3:318.58166795114005,(1:416.8594020317046,(2:334.8729107742685,4:381.9208355332124):381.9666292840938):335.38167138190096);
(3:0.765232,(4:0.655779,(1:379.6029761907728,2:0.798693):0.0216923):0.765232);

Position, Posteriors1, Posteriors2, Posteriors3,
0, 0.33320599462300116, 0.33336388455975335, 0.3334301221483357,
1, 0.333773483130573, 0.3309274371514944, 0.33529908104791195,
2, 0.3335445528375354, 0.3330051289650011, 0.3334503195288669,
3, 0.3341315045879212, 0.331394007593159, 0.33447448914912153,
4, 0.3330176598837609, 0.33278550779990634, 0.33419683364775477,
5, 0.3345303201732861, 0.3303027173590064, 0.33516696379969374,
6, 0.33254233160728053, 0.3357464514836055, 0.3317112182414733,
7, 0.3362921405321558, 0.32561425864507776, 0.33809360215459683,
8, 0.32855380487832897, 0.34458155809096963, 0.3268646383636667,
9, 0.33678520882019286, 0.3267834051498325, 0.3364313873640596,
10, 0.3319778770585094, 0.3342304983573657, 0.3337916259169811,
11, 0.33520047235452716, 0.33186407757628206, 0.3329354514034382,
12, 0.33523079205394996, 0.32860311641397805, 0.33616609286795524,
13, 0.32919510816574565, 0.34234438229020525, 0.3284605108796707,
14, 0.33927833543445524, 0.3202327025744528, 0.3404889633267668,
15, 0.3242186014859321, 0.35322394761007986, 0.3225574522392301,
16, 0.33851913383034243, 0.321731920271996, 0.339748947231824,
17, 0.3306827292659975, 0.34013350132134146, 0.3291837707450652,
18, 0.33771021612806323, 0.3235007135730624, 0.33878907163100186,
19, 0.325348474724654, 0.3502471108518994, 0.32440441575406903,
20, 0.3386441734402282, 0.3230269545452156, 0.3383288733456883,
21, 0.3309534712378035, 0.33788592682542756, 0.3311606032695803,
22, 0.33085660752348484, 0.3385949369259255, 0.3305484568830569,
23, 0.3369255677553703, 0.3266982064822362, 0.33637622709533427,
24, 0.32932901155858596, 0.34041353405947566, 0.3302574557151807,
25, 0.337274967940937, 0.3269675891804396, 0.33575744421164544,
26, 0.3302057743683427, 0.33879991920883523, 0.33099430775449107,
27, 0.3366909931524585, 0.32719582195132885, 0.33611318622839537,
28, 0.3292626734346647, 0.34097152049305496, 0.32976580740533706,
29, 0.3367253528147593, 0.32755229763392785, 0.335722350884346,
30, 0.3293615962303523, 0.340332142591256, 0.33030626250919576,
31, 0.3368524861915079, 0.3277730959236309, 0.3353744192163191,
32, 0.33124058726164657, 0.3368381021151639, 0.33192131195330643,
33, 0.33151616252774857, 0.33752746542088763, 0.33095637338348455,
34, 0.3366000803684957, 0.32636873383621906, 0.33703118712716956,
35, 0.32954419219519615, 0.34100384785900056, 0.3294519612790555,
36, 0.3359341071506165, 0.3286654509692061, 0.3354004432133578,
37, 0.3323643391307632, 0.33330332879596325, 0.33433233340618607,
38, 0.33503268767665634, 0.3324856846386071, 0.3324816290171239,
39, 0.3350909371875422, 0.32821084968589265, 0.33669821445908005,
40, 0.3289565839849704, 0.3429303384874147, 0.3281130788606753,
41, 0.3367459927995856, 0.3272912458036168, 0.33596276272778963,
42, 0.3337862075968602, 0.3322025223914711, 0.3340112713447216,
43, 0.331509699266832, 0.3387594840782017, 0.32973081798670095,
44, 0.33566749487792236, 0.32582013831410006, 0.3385123681422888,
45, 0.33040350376281863, 0.34050703643500474, 0.3290894611341247,
46, 0.3385227374173286, 0.3219103706224679, 0.33956689329471434,
47, 0.3290872942571829, 0.3426213650422205, 0.3282913420359599,
48, 0.3356912542612925, 0.32772811816438796, 0.3365806289101639,
49, 0.32899708511396425, 0.34311028996880794, 0.32789262625120286,
50, 0.33596690842096083, 0.32711887221053354, 0.336914220705056,
51, 0.32858659044988875, 0.34379099116121686, 0.32762241972545036,
52, 0.3367759633373588, 0.3262625886306863, 0.3369614493680804,
53, 0.33191405124945056, 0.33637530535655136, 0.3317106447324616,
54, 0.3353554774455723, 0.3283169733205701, 0.33632755057028557,
55, 0.3313819720968524, 0.3378776258066921, 0.3307404034320472,
56, 0.336421093645096, 0.3259570121943142, 0.3376218954976827,
57, 0.32923498074195573, 0.343298254039544, 0.32746676655584356,
58, 0.33613785999471024, 0.3269329112095597, 0.33692923013309356,
59, 0.33185064322451835, 0.33659631559772274, 0.331553042513642,
60, 0.33447858899780053, 0.33052935491011254, 0.3349920574292453,
61, 0.3287776745371155, 0.3435402392341947, 0.3276820875657598,
62, 0.3395028449075616, 0.3198175223392911, 0.340679634091,
63, 0.3284276669890142, 0.34447078770711703, 0.3271015466401985,
64, 0.33530761798645065, 0.32826945558901166, 0.3364229277599485,
65, 0.33062937872050685, 0.33988126861486523, 0.3294893540022839,
66, 0.3340601756734304, 0.33120096292153245, 0.33473886274005943,
67, 0.331688239964789, 0.3372472484028316, 0.33106451296954076,
68, 0.3333138404257312, 0.3327825976013028, 0.3339035633089645,
69, 0.3325737742874813, 0.3354206769582087, 0.33200555009137994,
70, 0.33542436309038864, 0.32913958540615634, 0.33543605284038724,
71, 0.331804910108532, 0.33733963796532807, 0.3308554532643111,
72, 0.3327662078529263, 0.3340508726873219, 0.33318292079657563,
73, 0.3339078091632152, 0.3323450360694598, 0.3337471561011545,
74, 0.3344834021926138, 0.3307039079149837, 0.3348126912269383,
75, 0.332196990132105, 0.3368617022970327, 0.33094130890686846,
76, 0.33541587008659945, 0.32733222264047857, 0.3372519086083988,
77, 0.32957452841443974, 0.34183983915292765, 0.32858563376786837,
78, 0.3381245265452023, 0.32278759164407445, 0.33908788314600175,
79, 0.33117467232683795, 0.3385710779398352, 0.33025425107002226,
80, 0.3358434404933414, 0.32630914066822503, 0.33784742017550706,
81, 0.3295079201416046, 0.34272350846180855, 0.327768572730375,
82, 0.33548875553611135, 0.32767129223771463, 0.33683995356262536,
83, 0.3292759473892839, 0.34278472656510145, 0.32793932738184933,
84, 0.33547354089373793, 0.3279777190073592, 0.33654874143351104,
85, 0.3322499661348484, 0.33628034458211964, 0.33146969061618214,
86, 0.3365428141276847, 0.32562095880197967, 0.3378362284051099,
87, 0.3289560946287713, 0.3441089956746068, 0.3269349110343731,
88, 0.3377500410021072, 0.32076437892660625, 0.3414855814066929,
89, 0.3285115782265841, 0.3453485764087601, 0.32613984669985185,
90, 0.33863925737422634, 0.3222311127201564, 0.33912963124310874,
91, 0.3299030948358708, 0.3403923568214686, 0.3297045496797354,
92, 0.33673714443465375, 0.32606325353027915, 0.3371996033753963,
93, 0.33008434577252777, 0.3401289741361358, 0.3297866814311801,
94, 0.33536222359377993, 0.32867267651371357, 0.3359651012332512,
95, 0.3319407253598967, 0.3348872080687997, 0.3331720679128028,
96, 0.33656360377567596, 0.32893125897427916, 0.3345051385899384,
97, 0.33205267662813837, 0.33506597798717386, 0.33288134672292496,
98, 0.3352773518884891, 0.32879679002643303, 0.3359258594237852,
99, 0.3315776598120685, 0.33743591178011517, 0.3309864297468369,
100, 0.33337863221098296, 0.3324569193745908, 0.33416444975424925,
101, 0.335229549781822, 0.33035322176555243, 0.33441722979114347,
102, 0.33052193561463405, 0.34079455466615693, 0.32868351105800814,
103, 0.33667403423521186, 0.32430634167532485, 0.33901962542936276,
104, 0.32784897487420583, 0.3462706392366489, 0.3258803872285379,
105, 0.337825603511176, 0.32297975945194174, 0.3391946383759675,
106, 0.32940321695725694, 0.3419353984009675, 0.32866138598227174,
107, 0.3346192551263249, 0.3313607340632762, 0.3340200121527241,
108, 0.3345118970691155, 0.32976390344027734, 0.33572420083041277,
109, 0.3332696888284237, 0.33334404356711456, 0.33338626894551465,
110, 0.329929710373376, 0.3414020561911522, 0.3286682347763228,
111, 0.33975956214131375, 0.31924140897425873, 0.3409990302279725,
112, 0.32639887866177714, 0.3485211132911926, 0.32508000938829157,
113, 0.33534721289713143, 0.3292676808501162, 0.335385107595032,
114, 0.33268272603646065, 0.3331603573476038, 0.33415691795846025,
115, 0.33342082734634193, 0.3344581825341612, 0.33212099146306756,
116, 0.33604420230892973, 0.32667805760533525, 0.33727774142939737,
117, 0.3283886387198039, 0.3443053898503398, 0.32730597277430656,
118, 0.3366588689152496, 0.326234447289589, 0.33710668513975,
119, 0.33169800935497784, 0.3350251270667817, 0.3332768649218566,
120, 0.33594788339180726, 0.3297469689445206, 0.33430514900507796,
121, 0.33138690720558756, 0.33620332364734135, 0.3324097704894647,
122, 0.333584937077995, 0.33353105461345484, 0.3328840096496177,
123, 0.3349400065969563, 0.32879907835690736, 0.3362609163887273,
124, 0.333302726280191, 0.3333062104600199, 0.3333910646011685,
125, 0.33358012178334207, 0.3327554385046167, 0.33366444105447,
126, 0.3344918635736537, 0.33074534936797495, 0.3347627884008538,
127, 0.33273827491991587, 0.33603361362984424, 0.33122811279283293,
128, 0.3339320503749058, 0.32803667332379755, 0.3380312776458347,
129, 0.3350666965787794, 0.33091895775424623, 0.33401434701028954,
130, 0.3304483222235473, 0.3399968454935232, 0.32955483362517407,
131, 0.33256977175547403, 0.33261842932756874, 0.3348118002600178,
132, 0.33567678187861294, 0.3330487222149181, 0.3312744972498296,
133, 0.3335780707404868, 0.3270903854584859, 0.33933154514451935,
134, 0.3329996391472697, 0.33617841392190023, 0.3308219482730292,
135, 0.3340865479715387, 0.3316919348356348, 0.33422151853542104,
136, 0.3365422665244324, 0.326164457905301, 0.3372932769148054,
137, 0.33050517544497504, 0.340550057164192, 0.3289447687365666,
138, 0.3323498079669589, 0.33314882581317773, 0.33450136756518317,
139, 0.33599406639084656, 0.3315088137644697, 0.332497121190122,
140, 0.332678208264735, 0.3308720165833082, 0.3364497764971066,
141, 0.33411292554470884, 0.3348923817522641, 0.33099469404732945,
142, 0.33479165607639394, 0.3283986925431034, 0.33680965272432983,
143, 0.33039565993432357, 0.3438764230172079, 0.3257279183910889,
144, 0.33701200969081163, 0.31978613695144126, 0.3432018546988991,
145, 0.3293982508750331, 0.34456258982548293, 0.3260391606393314,
146, 0.3369485076437427, 0.32381933182979955, 0.33923216186599675,
147, 0.3309252968718081, 0.3400033757569553, 0.32907132871059647,
148, 0.3360912385586921, 0.32640365118618153, 0.33750511159527413,
149, 0.33067316620780135, 0.3396548830534048, 0.3296719520802516,
150, 0.33472950062205653, 0.32913718618721954, 0.33613331453091333,
151, 0.3339911221693474, 0.3345734138525331, 0.331435465318206,
152, 0.33529979683008254, 0.32719208412951944, 0.33750812038014316,
153, 0.3303333618726856, 0.34184052760276, 0.32782611186467564,
154, 0.33432219977324634, 0.3297703406999539, 0.3359074608674339,
155, 0.33139718425776693, 0.3383755867963077, 0.33022723028768175,
156, 0.3331517950585323, 0.3334236736438923, 0.3334245326408289,
157, 0.33358001400853915, 0.3341855558248305, 0.33223443150968257,
158, 0.33484123208446676, 0.330253668735874, 0.3349051005206322,
159, 0.3335235439820757, 0.32927587554290827, 0.3372005818151379,
160, 0.3340554106748486, 0.33345247743123646, 0.3324921132336542,
161, 0.3316333030503271, 0.3359322358096855, 0.33243446248024877,
162, 0.33286566491425373, 0.33582037875835175, 0.33131395766966576,
163, 0.33445365986673853, 0.32940022620580256, 0.3361461152672431,
164, 0.33270731757569905, 0.33667393362051323, 0.3306187501427841,
165, 0.3317232650054141, 0.3366429787653269, 0.3316337575683513,
166, 0.33627242231972676, 0.3282653936045804, 0.3354621854153722,
167, 0.3324452702179121, 0.33572968937142955, 0.33182504174849287,
168, 0.3306984561355163, 0.33972096120728335, 0.32958058399612655,
169, 0.3354062378760867, 0.3286163279487873, 0.3359774355146887,
170, 0.328631326837997, 0.34489026797597805, 0.32647840652385524,
171, 0.33810544162581246, 0.31997552300480353, 0.34191903670575385,
172, 0.3276353306219454, 0.3491505450827477, 0.3232141256292383,
173, 0.34049539070066437, 0.3149371630665881, 0.34456744756487473,
174, 0.3247845792065181, 0.3533619520095563, 0.3218534701159378,
